,Cycles,EFCs (with Diagnostic),Q_pe,Q_ne,Q_li_cyc,HPPC 50% charge 0s,HPPC 50% charge 3s,HPPC 50% charge 10s,HPPC 50% discharge 0s,HPPC 50% discharge 3s,HPPC 50% discharge 10s
cell_060,586.0966324,562.7877916,0.909357691,0.955389317,0.860016548,1.097170766,1.011466826,0.967768507,1.09088626,1.004802537,0.979891404
cell_061,813.7011391,711.0206595,0.903977056,0.960632572,0.857342058,1.067796436,0.996517984,0.957442874,1.065384773,0.991688969,0.969081595
cell_062,803.0861442,707.9366413,0.906544715,0.962029885,0.858983696,1.043759878,0.981042292,0.939474332,1.049791781,0.974443765,0.952102286
cell_063,548.5054516,536.9935562,0.906421273,0.948257989,0.858183985,1.046830498,0.982515797,0.942987513,1.049960399,0.976225015,0.955698036
cell_064,512.5579159,502.2807898,0.910019958,0.950882015,0.862029409,1.058778566,0.98876188,0.94715419,1.058171931,0.982616102,0.959501889
cell_065,484.5616656,534.8032272,0.916723868,0.93915505,0.865495357,1.11173181,1.025423627,0.976601233,1.109081614,1.019513904,0.991722694
cell_066,493.3622393,543.4396941,0.914190031,0.939386636,0.863850554,1.067821807,0.994863068,0.95406128,1.071314738,0.994909413,0.971156607
cell_067,658.2364911,690.8196817,0.913735431,0.95027473,0.862111224,1.056691471,0.99011803,0.951516872,1.069288947,0.988989887,0.966637502
cell_068,650.6211918,682.3695245,0.910814932,0.947767912,0.859566703,1.092095733,1.012886677,0.970029953,1.089109632,1.00985318,0.982978104
cell_069,898.8375075,851.9559778,0.912099382,0.965629587,0.860946817,1.08813459,1.007466437,0.963897649,1.084086097,1.005098167,0.980323574
cell_070,887.9892051,847.5253598,0.908306143,0.963681589,0.858983195,1.057958589,0.989943555,0.949655229,1.06302618,0.982707797,0.963305679
cell_071,774.8436134,712.8595694,0.90957209,0.962409697,0.861458497,1.128586278,1.046030822,0.997029596,1.127255016,1.038910845,1.009872105
cell_072,738.6529734,684.3532243,0.905740266,0.959072254,0.859796955,1.083197358,1.01220615,0.967173774,1.087741197,1.005437266,0.980833874
cell_073,433.9269308,429.2230468,0.921308081,0.942521684,0.872570031,1.09613848,1.005699092,0.960500097,1.084156726,1.000372322,0.976030222
cell_074,481.1303615,467.8786987,0.915102417,0.941524535,0.869793359,1.218788213,1.111006058,1.050449474,1.222079121,1.111368116,1.069887802
cell_075,622.7747592,580.9410711,0.912472124,0.943911338,0.868122968,1.237237058,1.124658353,1.057531629,1.232354547,1.121183722,1.080087128
cell_076,619.5490519,582.4611902,0.908255492,0.929741613,0.865276409,1.218953721,1.115179397,1.053716844,1.230734423,1.113755915,1.075795971
cell_077,874.2536489,747.8316557,0.90992137,0.954340499,0.864772504,1.199446855,1.091551104,1.032080009,1.206243185,1.091137214,1.054020807
cell_078,777.1255305,671.0626062,0.914259465,0.956806389,0.869878847,1.150178343,1.051498891,0.997139981,1.151479331,1.050431863,1.018205651
cell_079,615.9759717,588.2175996,0.915997438,0.965117867,0.865928677,1.19470743,1.090006359,1.032535587,1.188699454,1.086206579,1.050006499
cell_080,612.93806,589.0878159,0.913425616,0.952041148,0.860973674,1.180875108,1.08037416,1.024104912,1.174330087,1.076143015,1.039355312
cell_081,411.0156829,408.0300407,0.914199915,0.942526737,0.874066028,1.200135129,1.096202302,1.036624249,1.202520445,1.094613286,1.054264708
