Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
0.060343280440727565,0.03961604249510634,0.1013962005,0.0,0.0,0.08646978221807822,1.8348623853211008e-05,7.339449541284403e-05
0.06032621682516722,0.03963360520841378,0.10029755091999999,0.0,1.8356707540935457e-06,0.08713407107700011,1.8356707540935456e-05,7.342683016374182e-05
0.06029704041447912,0.039662686049956535,0.10061798967722006,0.0,0.0,0.5000074743810714,3.673904258055035e-05,7.34780851611007e-05
0.06028750536666161,0.03967181204388328,0.1007598992809976,0.0,0.0,0.5000059783987894,3.674781809830041e-05,7.349563619660083e-05
0.06025295571907149,0.03970687890160108,0.10019913023974032,0.0,0.39722676867057766,1.0,1.839012817919341e-05,7.356051271677364e-05
0.060217014819469485,0.03974260900956014,0.10027512015773364,0.0,0.3975850390222353,1.0,1.840671476954793e-05,7.362685907819172e-05
0.1999831282989985,1.2975476118690242e-08,0.20146486609999997,0.0,0.0,0.0,0.00012282748879199166,0.0002456549775839833
0.1999833865442995,1.1544099050786991e-08,0.20114442663999998,0.0,0.0,0.0,0.00012267680794945715,0.0002453536158989143
0.08591974888733112,0.11406340725469677,0.20123598078,0.0,0.0,0.09617197489887519,2.6406126221283338e-05,5.2812252442566676e-05
0.08598161614057366,0.1140017172053631,0.20137331198,0.0,0.0,0.09504349012020907,2.6392187912377936e-05,5.278437582475587e-05
0.08582207643243177,0.11416196112133027,0.20103089952817169,0.0,0.0,0.4999963377926805,5.2856916327501456e-05,0.00010571383265500291
0.08586388669696164,0.11411918621298497,0.20123598078,0.0,0.0,0.4999987500320403,5.283736658564937e-05,0.00010567473317129874
0.08571852037496844,0.11426400495340269,0.20101075761361809,0.0,0.5713681091947942,1.0,2.645222727753677e-05,5.290445455507354e-05
0.08574879991726334,0.1142338711933391,0.20058960860641054,0.0,0.571217009573174,1.0,2.6445231924683978e-05,5.2890463849367956e-05
0.4999590477148063,6.681018424982567e-09,0.5002059968,0.0,0.0,0.0,0.0003147128245476003,0.0006294256490952006
0.11357499170469637,0.3863860545746054,0.50075532158,0.0,0.0,0.11827948106577346,3.5780735651925e-05,7.156147130385e-05
0.11349348595038239,0.3864682497237681,0.5011215381,0.0,0.0,0.11906986724662738,3.578713810256594e-05,7.157427620513188e-05
0.11346222675154942,0.386499431952717,0.5012588692997402,0.0,0.0,0.4999981477248435,0.00014315879889767726,0.00021473819834651588
0.11301900691348109,0.3869423566004682,0.501441972938604,0.0,0.0,0.4999998238858757,0.00014332294242000787,0.0002149844136300118
0.11286530240341389,0.38709454751087025,0.501156328672821,0.0,0.7742490501111191,1.0,3.5844863431070325e-05,7.168972686214065e-05
0.11269874053537968,0.3872611729913667,0.5009420920136181,0.0,0.7745822276411103,1.0,3.586028831671807e-05,7.172057663343613e-05
0.10074295728476848,0.2191371221819505,0.3014145113351343,0.06887277684823698,0.2584681167503253,0.5526091278710499,0.002478775484910454,0.004988535663382289
0.10076374337634367,0.21904029666837094,0.30113023575616077,0.06883849180531028,0.25842550422901756,0.5525365218709828,0.0024785450940298043,0.004988072001734982
0.10028754162216309,0.2089883669721447,0.30061249713211696,0.03391771350967623,0.27580789530541067,0.5470193314860452,0.0022222908114447977,0.004444581622889595
0.10025597785846392,0.20905863945773467,0.3004669260607656,0.033900188265794266,0.27588963303601743,0.5470838774586191,0.002222153637233419,0.004444307274466838
0.10222454094559469,0.4140359073839901,0.50121309224,0.040688530878404294,0.3243159442526531,0.5541593684071954,0.0014704002045774199,0.0029408004091548397
0.10228786210655356,0.4140854304375641,0.5012634470207515,0.04067374073127077,0.3243064433648683,0.5542976351456639,0.0014702122219381233,0.0029404244438762466
0.09819669276147981,0.40735058325758,0.5014419775600001,0.03893278877741277,0.3399479120423807,0.5600288688155788,0.009736896623161384,0.019473793246322767
0.09829013220525755,0.40714835131169924,0.5009192034725612,0.039014859984607186,0.33972825765200404,0.559861801757624,0.009738914214670534,0.01947782842934107
0.20153484907774533,0.41369929612249934,0.6013046463809998,0.06672385309442115,0.24588893124920574,0.5520663855472044,0.0024145380607446944,0.004829076121489389
0.20182104232262846,0.41333732473343715,0.6011902035396882,0.06670689874221827,0.2457184601702452,0.5520913466430879,0.0024139245330961757,0.0048278490661923515
0.2034973644874568,0.40258260887152303,0.6009205767858523,0.03302376224940755,0.29132133478511496,0.5544252123157877,0.0021776724524434766,0.004355344904886953
0.20427595811938243,0.4018778618451649,0.6011696040340614,0.03297328390642976,0.29074523839959093,0.5545816898478939,0.0021730793813115176,0.004346158762623035
0.2042545001142657,0.805247568451235,1.0013907072590393,0.039754665963199896,0.3401239860185979,0.5486480179581249,0.0014509002176350326,0.002901800435270065
0.20432503815506248,0.8050195391173818,1.0013742275105244,0.039746802057233285,0.3402215481999209,0.5486625590633532,0.001450613213767638,0.002901226427535276
0.19749438815923778,0.7767736188365884,1.0014648660998628,0.03654537697324313,0.34567562625708537,0.5724480062257316,0.00981288474431645,0.0196257694886329
0.1977243286880787,0.7763407693572039,1.0013339436976525,0.03653752436647174,0.34541301169590644,0.5724126567113657,0.009807504873294346,0.019615009746588693
0.5113454582012038,0.9875671451269058,1.5014268711283152,0.06408094435075885,0.2488195615514334,0.5483034349476044,0.0021922428330522765,0.002360876897133221
0.5099523214053586,0.9890750574723794,1.5013962003488186,0.06420608108108108,0.24900337837837838,0.548133124648275,0.002195945945945946,0.002364864864864865
