,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.2675833356230635,0.1187228324498046,0.17931613059713325,0.08999577996246909,0.12221645944391357,0.08072262465981916,0.09512805751598767,0.046314779747809114
Q_pe,0.11541221484903526,0.15245157324276729,0.12374625276478231,0.0851600647518654,0.1776018748113406,0.13650027781520366,0.07805942446679183,0.13106831729821375
Q_ne,0.13998278693551158,0.21352305597799287,0.23238207429871896,0.07621953299745718,0.08649100850497399,0.08327789255827243,0.06578777019215494,0.10233587853491803
Q_li_cyc,0.129907730434763,0.17755368813723219,0.1229608388624734,0.12613672782324617,0.13255662416157107,0.08751348917518026,0.11312563099073226,0.11024527041480167
HPPC 50% discharge 0s,0.16703798722196211,0.10265908975187621,0.12665510180587397,0.10651448643953251,0.10522944092134975,0.1012002618258223,0.11743333275569803,0.17327029927788506
HPPC 50% discharge 3s,0.14748384788506008,0.10589281350533566,0.12627307960163614,0.11928398559166098,0.11036475425455988,0.10214177363039269,0.12519782824619324,0.16336191728516128
HPPC 50% discharge 10s,0.15657746444008308,0.11344580319111625,0.13361063766654227,0.11448085283789647,0.11033438005801306,0.10296385195640681,0.12367572570933368,0.14491128414060842
