,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.2859636369365987,0.11985251056476931,0.09081081602057903,0.0877507620283881,0.1456955869242903,0.09825356559635502,0.08589051460426969,0.08578260732474988
Q_pe,0.14141646050522733,0.1241200904552492,0.17734435765979015,0.07112325778098169,0.15742334872991187,0.10030763169638499,0.10388240878906797,0.12438244438338679
Q_ne,0.13790879042464863,0.17022122422913946,0.1462721744926885,0.07992824777030584,0.11556265650260253,0.07854897025778895,0.17545509775985516,0.09610283856297093
Q_li_cyc,0.1664736197214113,0.11800595556876883,0.1374336014474241,0.11238354450003589,0.13889719891366994,0.10070282727864745,0.10332408507210204,0.12277916749794045
HPPC 50% discharge 0s,0.17855847437722785,0.10331775300785388,0.14832714047173826,0.10039314435868243,0.09200293209057653,0.10539772506867269,0.11593649431057707,0.15606633631467132
HPPC 50% discharge 3s,0.20201891629584032,0.11675255786881149,0.14772299664005983,0.08203401786295067,0.09052223101137712,0.10928425032764764,0.11084732599868465,0.14081770399462828
HPPC 50% discharge 10s,0.19098002710099268,0.1326651438007578,0.15449842142451198,0.08978438243087275,0.09261558174882475,0.10258435887278945,0.09923273337307081,0.13763935124817978
