,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.2580011121157333,0.1194699536942708,0.10525410671337795,0.07907763134468292,0.13453207065933873,0.1151259362338603,0.10508730735400487,0.08345188188473125
Q_pe,0.13886958295775645,0.11766493045541818,0.12770881912043783,0.07399330022662569,0.2039945918277546,0.1140617900214049,0.088360566286336,0.13534641910426637
Q_ne,0.13358534999567223,0.172365714153381,0.16555963016630365,0.08036018176857596,0.11288535163669876,0.08397399478339752,0.1341460397540329,0.11712373774193789
Q_li_cyc,0.14742763696373198,0.1210147411696947,0.12145813383844023,0.10710750604018893,0.19126305880444236,0.10202468021151426,0.09468370490858982,0.1150205380633977
HPPC 50% discharge 0s,0.16414301733522155,0.09838253447908196,0.13511633115586455,0.10497028113676811,0.0963283605659408,0.09891897644748397,0.1273794349640366,0.17476106391560248
HPPC 50% discharge 3s,0.17304262518275657,0.119548870658917,0.15081719590348797,0.09613680927015433,0.09677637460759217,0.1123753304737532,0.1057826695761192,0.14552012432721959
HPPC 50% discharge 10s,0.16980801060969725,0.11836508666337854,0.14804991168247106,0.1056913326751779,0.09997682794997263,0.10655121160296048,0.09776624843022916,0.15379137038611299
