,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.12239234960904977,0.07515223669210416,0.07944885381743876,0.09746922813035626,0.15603682236700767,0.15083489806862274,0.17570942444389895,0.14295618687152162
Q_pe,0.1465346074948571,0.10490650938437555,0.18826314854265194,0.13013276677815852,0.12524068495104954,0.09953711069290866,0.0974815579146295,0.10790361424136918
Q_ne,0.1333233952148577,0.12565964827645976,0.18372037672456465,0.14811215963260335,0.11440480541867153,0.096670707851438,0.0884624513862673,0.1096464554951378
Q_li_cyc,0.13136524196103622,0.11000844983220755,0.15158121958342266,0.19059303984014167,0.09563601113487286,0.09360476647804346,0.10929526487938564,0.11791600629088997
HPPC 50% discharge 0s,0.21427601296324877,0.11014672096726702,0.14582448067078224,0.10984084706877498,0.11761236207692598,0.09500381567109023,0.09883554318644379,0.10846021739546702
HPPC 50% discharge 3s,0.29724472243029637,0.13668024078557095,0.1214444052672188,0.08426913387100299,0.09555314611178752,0.0817369341725749,0.08826198909974581,0.09480942826180262
HPPC 50% discharge 10s,0.29713851183101664,0.12625947312891214,0.11465619688559342,0.08568780097989183,0.09383314215331687,0.08501006240381223,0.09862179589631818,0.09879301672113869
