,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.23095308135724207,0.1527253278246187,0.0789971308823648,0.06856153063841341,0.16771285480907788,0.11670879535403778,0.08429300815255521,0.10004827098169018
Q_pe,0.15141345441657247,0.09863773857724924,0.1873027688153569,0.071341768954982,0.17220329076249147,0.08611722284939649,0.10077959976028433,0.13220415586366716
Q_ne,0.13708995284953648,0.17676994478203556,0.11511070833375722,0.07784944072564601,0.12539956120981383,0.09060861249295607,0.15017872878168617,0.1269930508245686
Q_li_cyc,0.15474520645353806,0.12527442427855967,0.15193105121274167,0.1102495816284742,0.1381762331867212,0.10231765292909664,0.10321044783681055,0.11409540247405804
HPPC 50% discharge 0s,0.20196381663351726,0.11134354406528138,0.11793063277173642,0.0995772116743342,0.08617490705893893,0.11017403515490637,0.11682379887893662,0.15601205376234883
HPPC 50% discharge 3s,0.23022318235349815,0.12114663850871732,0.1252734488091629,0.09134858182872221,0.07747666816335952,0.09723930713880993,0.1209687279158657,0.1363234452818642
HPPC 50% discharge 10s,0.21464644481736758,0.1275718518161419,0.12823692655887733,0.0931965005775673,0.0836571867879372,0.09744277142056443,0.11931647618928809,0.1359318418322562
