,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.24254216762104108,0.11794022487535048,0.2117374050255387,0.06357396022052052,0.11847425044558163,0.10512091812675019,0.0782322383488657,0.06237883533635178
Q_pe,0.16522703508534453,0.12016704752935141,0.0937414834506832,0.08622008673290565,0.2163415889207435,0.13089251896643825,0.0643482123226275,0.12306202699190603
Q_ne,0.14352018359310512,0.2157872393355197,0.1893605174503551,0.08277889993719549,0.11664720945048876,0.07251053970185892,0.06418676916111772,0.11520864137035909
Q_li_cyc,0.14771882138638864,0.18387496628300667,0.09354324588825984,0.11297953352267731,0.17666905689436,0.11258287749819176,0.07747109987994961,0.09516039864716612
HPPC 50% discharge 0s,0.1656676195873171,0.10807000557400215,0.12075765426120437,0.1162331708303377,0.09312456092957185,0.10358348751777587,0.12320322438136104,0.16936027691842995
HPPC 50% discharge 3s,0.17468296760505386,0.11198489878586683,0.13561198602784952,0.10397233645488843,0.09310861457716174,0.10548108713221753,0.11595716361005694,0.15920094580690514
HPPC 50% discharge 10s,0.1745831217973652,0.1097651744885419,0.13124136792880065,0.11502304474568187,0.08980543426527694,0.10795364119354325,0.11337199208100238,0.15825622349978777
