,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.2633458404039896,0.13629237933676028,0.13584813433403448,0.06983934955658838,0.1074959661253923,0.10961840562524423,0.09611621346010893,0.0814437111578818
Q_pe,0.14532522732554076,0.11774929829827313,0.09377175911962389,0.07406426422068578,0.24162368785690355,0.12370910171665075,0.07065418282669843,0.13310247863562366
Q_ne,0.13884233765963266,0.2039321057606462,0.1800547318425836,0.08414050673123458,0.1161549698927839,0.08702546888839961,0.06594654950452773,0.12390332972019175
Q_li_cyc,0.14462121172852288,0.1440658783319704,0.10892771246557169,0.09911805935121885,0.2193926008652296,0.10388880495692501,0.07189251921646476,0.1080932130840968
HPPC 50% discharge 0s,0.16053888312240047,0.10458707849495597,0.1423993709402728,0.09893037110165721,0.10395456176439945,0.1022319430547312,0.11148368082945485,0.17587411069212813
HPPC 50% discharge 3s,0.16293493873154438,0.1136932199755563,0.1405953133602874,0.10763033816315469,0.1062977760826983,0.0991308511210684,0.11021723518788963,0.15950032737780087
HPPC 50% discharge 10s,0.1663114220845424,0.11037940120861274,0.15098841081556152,0.10620873238847733,0.0947425149629163,0.09466236506221519,0.11371198867010004,0.16299516480757448
