,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.2618995029617725,0.08627546670369965,0.06516782345917044,0.04609364205057291,0.21497001514649258,0.08772006395805308,0.15335247439396785,0.08452101132627089
Q_pe,0.1552230429796043,0.11152956270181452,0.16577017247500472,0.12194620484671898,0.1535471226713169,0.12051965578156272,0.08920023466035637,0.08226400388362157
Q_ne,0.11498352883237718,0.20015492866715856,0.10006644891347444,0.08562062974674946,0.16084663288153325,0.10852283761388813,0.0935381340724808,0.1362668592723382
Q_li_cyc,0.168055888197875,0.11766874762545917,0.10772808430180504,0.14914990529084085,0.1254642525639064,0.10370361452425841,0.12168678411281991,0.10654272338303514
HPPC 50% discharge 0s,0.19081620619269704,0.11308155054743924,0.12414537473600518,0.1091292240513747,0.10305309713375048,0.0967374540646802,0.11173738992903134,0.15129970334502188
HPPC 50% discharge 3s,0.2100557955958466,0.11896183180374104,0.13314361917627546,0.10068468152389026,0.09380010465691829,0.092525950131293,0.10713775925648056,0.14369025785555473
HPPC 50% discharge 10s,0.20847641092264937,0.12000673228068535,0.1390383931351199,0.09697793003993262,0.08886152592467596,0.0916306131262505,0.10971551240973479,0.14529288216095146
