,Average Current,Normalized Current Variance,Maximum Discharge Current,Relative Charge Fraction,Rest Fraction at High SOC,Rest SOC,Peak Frequency 1,Peak Frequency 2
EFCs (with Diagnostic),0.2416019814250144,0.12205433968712802,0.20276517633207536,0.0886048837010462,0.1135570971255146,0.08330637213985292,0.09400502728251926,0.05410512230684916
Q_pe,0.15596132794043924,0.133255282258769,0.11397129716275835,0.081426045369609,0.19012515898302823,0.1388670131500693,0.06737538314666469,0.11901849198866224
Q_ne,0.1309004960033636,0.2222935380892886,0.23392829268261206,0.07979541377112694,0.09472002029422648,0.06924249529489807,0.0645040415670933,0.10461570229739102
Q_li_cyc,0.14720514190993111,0.17423380479671102,0.10455107359389297,0.1234929314293666,0.1675031790001307,0.0917966323246825,0.08681692027499346,0.10440031667029158
HPPC 50% discharge 0s,0.16590842092281696,0.102028139061067,0.1188464666852242,0.10251496685169069,0.1033891243026133,0.10479724668116396,0.12158777199655715,0.18092786349886672
HPPC 50% discharge 3s,0.16771615097246667,0.10485552321126441,0.12618757610491463,0.10829397720673307,0.10003076981421626,0.10193755787655474,0.12930623859229556,0.16167220622155462
HPPC 50% discharge 10s,0.15814966866279198,0.1149580470096476,0.13894923078840107,0.11275233867476926,0.09123885907496795,0.103965718073247,0.11445239184341346,0.16553374587276168
